DT_GERACAO;HH_GERACAO;ANO_ELEICAO;CD_TIPO_ELEICAO;NM_TIPO_ELEICAO;NR_TURNO;CD_ELEICAO;DS_ELEICAO;DT_ELEICAO;TP_ABRANGENCIA;SG_UF;SG_UE;NM_UE;CD_MUNICIPIO;NM_MUNICIPIO;NR_ZONA;CD_CARGO;DS_CARGO;QT_APTOS;QT_SECOES;QT_SECOES_AGREGADAS;QT_APTOS_TOT;QT_SECOES_TOT;QT_COMPARECIMENTO;QT_ABSTENCOES;ST_VOTO_EM_TRANSITO;QT_VOTOS_NOMINAIS;QT_VOTOS_BRANCOS;QT_VOTOS_NULOS;QT_VOTOS_LEGENDA;QT_VOTOS_PENDENTES;QT_VOTOS_ANULADOS;HH_ULTIMA_TOTALIZACAO;DT_ULTIMA_TOTALIZACAO
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58203;RIO DAS OSTRAS;58203;RIO DAS OSTRAS;184;13;Vereador;84956;227;5;84956;227;64284;20672;N;54956;2139;4735;2454;0;0;13:25:18;19/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58599;MIRACEMA;58599;MIRACEMA;112;13;Vereador;22432;71;2;22432;71;17687;4745;N;14638;306;1836;907;0;0;14:10:19;24/11/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59030;SÃO PEDRO DA ALDEIA;59030;SÃO PEDRO DA ALDEIA;59;13;Vereador;62903;181;41;62903;181;49178;13725;N;43529;1379;2164;2106;0;0;12:50:20;30/11/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58653;NITERÓI;58653;NITERÓI;71;13;Vereador;45525;131;0;45525;131;37126;8399;N;28530;1881;4893;1822;0;0;19:51:16;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58653;NITERÓI;58653;NITERÓI;140;11;Prefeito;23601;92;2;23601;92;18455;5146;N;14076;941;3438;0;0;0;19:51:16;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58653;NITERÓI;58653;NITERÓI;115;11;Prefeito;30603;100;5;30603;100;23812;6791;N;18843;1024;3945;0;0;0;19:20:40;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58831;RESENDE;58831;RESENDE;31;11;Prefeito;58783;183;14;58783;183;47917;10866;N;44171;1093;2653;0;0;0;12:40:38;09/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;58092;BOM JARDIM;58092;BOM JARDIM;42;11;Prefeito;21947;65;14;21947;65;17931;4016;N;16061;373;1497;0;0;0;18:27:35;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58696;NOVA IGUAÇU;58696;NOVA IGUAÇU;67;11;Prefeito;42354;119;14;42354;119;31290;11064;N;26407;1288;3595;0;0;0;19:45:35;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;59170;TRAJANO DE MORAES;59170;TRAJANO DE MORAES;39;11;Prefeito;9140;30;7;9140;30;7779;1361;N;7240;110;429;0;0;0;19:21:16;02/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58971;SÃO GONÇALO;58971;SÃO GONÇALO;36;11;Prefeito;49952;142;0;49952;142;36816;13136;N;31352;1140;4324;0;0;0;19:10:20;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;2;221;ELEIÇÕES MUNICIPAIS 2016;30/10/2016;M;RJ;58335;DUQUE DE CAXIAS;58335;DUQUE DE CAXIAS;103;11;Prefeito;63582;201;2;63582;201;46630;16952;N;39898;1427;5305;0;0;0;18:40:20;30/10/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;15;11;Prefeito;34693;88;2;34693;88;25736;8957;N;20605;1307;3824;0;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;118;13;Vereador;44188;100;0;44188;100;34265;9923;N;24585;2698;4789;2193;0;0;13:55:48;01/12/2016
18/10/2020;00:06:22;2016;2;Eleição Ordinária;1;220;ELEIÇÕES MUNICIPAIS 2016;02/10/2016;M;RJ;60011;RIO DE JANEIRO;60011;RIO DE JANEIRO;23;13;Vereador;53611;129;2;53611;129;41621;11990;N;31449;2909;4778;2485;0;0;13:55:48;01/12/2016
